CA Skateparks!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,City,County,Address,Free,Lights,Helmet/Pads,Notes,Exist,Visited,Column1,,,,,,,
San Dimas Skatepark,San Dimas,Los Angeles County,225 S. Cataract Ave.,Y,N,Y,,,70,,,,,,,,
Bell Gardens Skate Park,Bell Gardens,Los Angeles County,6635 Florence Place,Y,Y,Y,,,71,1,,,,,,,
Veteran's Park Skatepark,Carson,Los Angeles County,22400 Moneta Avenue,Y,Y,Y,,,72,,,,,,,,
Andres and Maria Cardenas Skatepark,Panorama City,Los Angeles County,14740 Blythe St.,Y,,,,,73,,,,,,,,
Speicher Skatepark,San Bernardino,San Bernardino County,Speicher Park,Y,,,,,74,,,,,,,,
Blair Skatepark,San Bernardino,San Bernardino County,1466 West Marshall Blvd,Y,Y,,,,75,,,,,,,,
Venice Skatepark,Venice,Los Angeles County,1608 Ocean Front Walk,Y,N,N,,,76,1,,,,,,,
Diamond Supply Co. Skate Plaza,Los Angeles,Los Angeles County,Hazard Park,Y,,N,,,77,1,,,,,,,
La Canada Skatepark,La Canada,Los Angeles County,4490 Cornishon Ave,,N,Y,,,78,,,,,,,,
City Park Skateboard Park,Corona,Riverside County,930 East 6th Street,Y,Y,Y,,,79,1,,,,,,,
Santana Park Skateboard Park,Corona,Riverside County,598 Santana Way,Y,,Y,,,80,1,,,,,,,
Eastvale Huber Skatepark,Eastvale,Riverside County,Rolling Meadow Dr and Northfork Rd.,Y,Y,N,,,81,1,,,,,,,
Chino Hills Skatepark,Chino Hills,San Bernardino County,16333 Fairfield Ranch Road,Y,N,N,,,82,,,,,,,,
Bobby Bonds Skatepark,Riverside,Riverside County,11th Street and Douglass Avenue,Y,,,,,83,,,,,,,,
Jurupa Skatepark,Jurupa,Riverside County,4810 Pedley Road,Y,Y,Y,Mild heel injury,,84,,,,,,,,
Murdy Park Skateboard Park,Huntington Beach,Orange County,7000 Norma Drive,Y,N,,,,85,,,,,,,,
Garden Grove Skate Spot,Garden Grove,Orange County,9301 Westminster Ave.,Y,,,,,86,,,,,,,,
Stoner Skate Plaza,Santa Monica,Los Angeles County,1835 Stoner Ave.,Y,N,N,Hit up Mendoza,,87,,,,,,,,
P-Rod Skatepark,Pacoima,Los Angeles County,10731 Laurel Canyon Blvd.,Y,N,N,,,88,,,,,,,,
Pedlow Skatepark,Encino,Los Angeles County,17334 Victory Blvd,Y,N,N,,,89,,,,,,,,
Fergusson Skatepark,Rialto,San Bernardino County,Fergusson Park,Y,,,,,90,,,,,,,,
Jessee Turner Skatepark (Fontana 2),Fontana,San Bernardino County,15556 Summit Ave.,N,Y,Y,,,91,,,,,,,,
Rialto Skatepark,Rialto,San Bernardino County,201 N. Willow St.,Y,,,,,92,,,,,,,,
Fontana Skate Park,Fontana,San Bernardino County,16581 Filbert Avenue,Y,Y,N,,,93,,,,,,,,
The SkateHouse,Chatsworth,Los Angeles County,9725 Variel Ave,N,Y,Y,,,94,,,,,,,,
Marine Ave Skatespot,Manhattan Beach,Los Angeles County,"1625 Marine Ave. Manhattan Beach, CA 90266",,,,,,95,,,,,,,,
Santa Ana Skateboard Park,Santa Ana,Orange County,3000 W Edinger Ave.,Y,N,Y,,,96,,,,,,,,
Westminster Skateboard Park,Westminster,Orange County,13900 Monroe St.,Y,,,,,97,,,,,,,,
Independence Park Skatepark,Downey,Los Angeles County,12334 Bellflower Blvd.,Y,Y,Y,,,98,,,,,,,,
Independence SkatePark,Fullerton,Orange County,800 W. Valencia,Y,N,Y,,,99,,,,,,,,
Buena Park Skatepark,Buena Park,Orange County,7725 El Dorado Drive,Y,N,Y,,,100,,,,,,,,
Jon Cole Skatepark,San Bernardino,San Bernardino County,900 N E St,Y,,,,,101,,,,,,,,
Chavez Skatepark,Colton,San Bernardino County,670 Colton Ave,,,,,,102,,,,,,,,
Palm Lane Skatepark,Anaheim,Orange County,1595 Palais Road,Y,N,N,,,103,,,,,,,,
Anaheim Skatepark (west),Anaheim,Orange County,N. Ventura St. and West Crescent Ave.,Y,N,Y,,,104,,,,,,,,
Fillmore Skatepark,Fillmore,Ventura County,C st. and River St.,Y,N,,,,105,,,,,,,,
Piru Skatepark,Piru,Ventura County,,Y,,,,,106,,,,,,,,
Newbury Park Skatepark,Newbury Park,Ventura County,190 North Reino Rd,Y,N,Y,,,107,,,,,,,,
Lake Street Skate Park,Los Angeles,Los Angeles County," 227 N Lake St, Los Angeles, CA 90026",Y,,N,,,108,,,,,,,,
Skatepark - Hawaiian Gardens,Hawaiian Gardens,Los Angeles County,22008 Clarkdale Ave,Y,,,,,109,,,,,,,,
Cypress Skate Plaza,Cypress,Los Angeles County,4554 Avenida Granada,Y,N,N,,,110,,,,,,,,
Pasadena Skatepark,Pasadena,Los Angeles County,45 East Washington Boulevard,Y,N,N,Andrew Powers shoot,,111,,,,,,,,
Glendale Verdugo Skatepark,Glendale,Los Angeles County,1621 Canada Blvd,N,Y,Y,,,112,,,,,,,,
Whittier Skatepark,Whittier,Los Angeles County,7630 Washington Ave,Y,N,Y,Kid knew my from IG,,113,,,,,,,,
Beebe SkatePark,Mission Viejo,Orange County,24190 Olympiad Road,Y,N,Y,,,114,,,,,,,,
Rancho Santa Margarita Skatepark,Rancho Santa Margarita,Orange County,Tijeras Creek and Antonio Parkway,Y,,Y,,,115,,,,,,,,
The Cove Skatepark,Santa Monica,Los Angeles County,1401 Olympic Boulevard,N,Y,Y,Hit up Mendoza,,116,,,,,,,,
Hermosa Beach Skate Park,Hermosa Beach,Los Angeles County,710 Pier Avenue,Y,N,Y,Go before 12 not enforced,,117,,,,,,,,
Culver City Skatepark,Culver City,Los Angeles County,Jefferson Blvd. and Duquesne Ave.,Y,N,,,,118,,,,,,,,
Ayala Skate Park,Chino,San Bernardino County,14225 Central Avenue,Y,Y,Y,,,119,,,,,,,,
Burbank Skatepark,Burbank,Los Angeles County,1625 N Valley Street,N,Y,Y,Fire polluted air fatigued me,,120,,,,,,,,
Sheldon Skate Park,Sun Valley,Los Angeles County,12558 Sheldon St,Y,N,N,,,121,,,,,,,,
Montclair Skatepark,Montclair,San Bernardino County,Poulsen Ave. and Benito St.,Y,Y,Y,,,122,,,,,,,,
Stanton Skatepark,Stanton,Orange County,10660 Western Ave,Y,,,,,123,,,,,,,,
Jackie Tatum Skate Plaza,Los Angeles,Los Angeles County,1535 West 62nd St.,Y,N,N,,,124,,,,,,,,
Cerritos Skate Park,Cerritos,Los Angeles County,"19900 Bloomfield Avenue, Cerritos, CA 90703",Y,N,N,,,125,,,,,,,,
Alameda Skatepark,Alameda,Alameda County,1177 W. Redline Ave.,Y,N,N,,,N,,,,,,,,
American Canyon School TLC Skatepark,American canyon,Napa County,donaldson way,Y,N,Y,,,N,,,,,,,,
Downtown Skate Zone,Anaheim,Orange County,E Broadway and S Olive St.,,,,,,N,,,,,,,,
South Volonte Skate Park,Anderson,Shasta County,20208 Olinda Rd.,Y,,,,,N,,,,,,,,
Antioch Skatepark,Antioch,Contra Costa County,Antioch,Y,N,Y,,,N,,,,,,,,
3 Diamond Skatepark,Apple Valley,San Bernardino County,13467 Navajo Road,Y,N,Y,,,N,,,,,,,,
Arcata Skatepark,Arcata,Humboldt County,900 Sunset Ave.,Y,N,Y,,,N,,,,,,,,
RampArt Collective Skatepark,Arcata,Humboldt County,700 South G Street,N,Y,Y,,,N,,,,,,,,
Arvin Skatepark,Arvin,Kern County,,,,,,,N,,,,,,,,
George C. Beatie Atascadero Indoor Skate Park,Atascadero,San Luis Obispo County,5493 Traffic Way,N,Y,,,,N,,,,,,,,
Osborn Skatepark,Atwater,Merced County,,Y,N,Y,,,N,,,,,,,,
Auburn Skatepark,Auburn,Placer County,Gum Lane and Pacific Ave,Y,,Y,,,N,,,,,,,,
Avalon Skatepark,Avalon,Los Angeles County,Avalon CA,Y,N,N,,,N,,,,,,,,
Skatepark - Avenal,Avenal,Kings County,,Y,N,,,,N,,,,,,,,
Beach Park Skatepark,Bakersfield,Kern County,21st. and Oak st.,Y,N,Y,,,N,,,,,,,,
Planz Park Skatepark,Bakersfield,Kern County,Planz Park,Y,,,,,N,,,,,,,,
Ronka Underground Skatepark,Bakersfield,Kern County,4404 Wible Rd,N,,Y,,,N,,,,,,,,
Banning Skatepark,Banning,Riverside County,,,,,,,N,,,,,,,,
Dana Park Skatepark,Barstow,San Bernardino County,840 Barstow Rd.,Y,,,,,N,,,,,,,,
Beaumont Skatepark ,Beaumont,Riverside County,9th st between Orange and Maple Ave.,Y,N,,,,N,,,,,,,,
